year,winner,jockey,trainer,owner,distance_mi,track_condition,time,wins,triple_crown,odds_high,odds_low,odds,bred_in,sex,starts,win,place,show,wps,wps_ratio,superfecta_payout
1938,Lawrin,Eddie Arcaro,Ben A. Jones,Herbert M. Woolf,1.25,Fast,2:04.8,5,F,17,2,17/2,Kansas,M,26,9,8,2,19,0.731,
1937,War Admiral,Charley Kurtsinger,George Conway,Glen Riddle Farm,1.25,Fast,2:03.2,2,T,8,5,8/5,Kentucky,M,26,21,3,1,25,0.962,
1936,Bold Venture,Ira Hanford,Max Hirsch,Morton L. Schwartz,1.25,Fast,2:03.6,1,F,21,1,21/1,Kentucky,M,11,6,2,0,8,0.727,
1935,Omaha,Willie Saunders,Jim Fitzsimmons,Belair Stud,1.25,Good,2:05.0,1,T,4,1,4/1,Kentucky,M,22,9,7,2,18,0.818,
1934,Cavalcade,Mack Garner,Bob Smith,Brookmeade Stable,1.25,Fast,2:04.0,1,F,3,2,3/2,New Jersey,M,22,8,5,3,16,0.727,
1933,Brokers Tip,Don Meade,Herbert J. Thompson,Edward R. Bradley,1.25,Good,2:06.8,1,F,9,1,9/1,Kentucky,M,14,1,2,1,4,0.286,
1932,Burgoo King,Eugene James,Herbert J. Thompson,Edward R. Bradley,1.25,Fast,2:05.2,1,F,11,2,11/2,Kentucky,M,21,8,2,3,13,0.619,
1931,Twenty Grand,Charley Kurtsinger,James G. Rowe Jr.,Greentree Stable,1.25,Fast,2:01.8,2,F,4,5,4/5,Kentucky,M,23,14,4,3,21,0.913,
1930,Gallant Fox,Earl Sande,Jim Fitzsimmons,Belair Stud,1.25,Good,2:07.6,3,T,6,5,6/5,Kentucky,M,17,11,3,2,16,0.941,
1929,Clyde Van Dusen,Linus McAtee,Clyde Van Dusen,Herbert P. Gardner,1.25,Muddy,2:10.8,2,F,3,1,3/1,Kentucky,M,42,12,7,8,27,0.643,
1928,Reigh Count,Chick Lang,Bert S. Michell,Fannie Hertz,1.25,Heavy,2:10.4,1,F,2,1,2/1,Virginia,M,27,12,4,0,16,0.593,
1927,Whiskery,Linus McAtee,Fred Hopkins,Harry P. Whitney,1.25,Slow,2:06.0,2,F,12,5,12/5,Kentucky,M,70,14,16,32,62,0.886,
1926,Bubbling Over,Albert Johnson,Herbert J. Thompson,Edward R. Bradley,1.25,Fast,2:03.8,2,F,2,1,2/1,Kentucky,M,13,10,2,1,13,1.000,
1925,Flying Ebony,Earl Sande,William B. Duke,Gifford A. Cochran,1.25,Sloppy,2:07.6,3,F,3,1,3/1,Kentucky,M,13,6,2,1,9,0.692,
1924,Black Gold,J. D. Mooney,Hanley Webb,Rosa M. Hoots,1.25,Fast,2:05.2,1,F,7,4,7/4,Kentucky,M,35,18,5,4,27,0.771,
1923,Zev,Earl Sande,David J. Leary,Rancocas Stable,1.25,Fast,2:05.4,3,F,19,1,19/1,Kentucky,M,43,23,8,5,36,0.837,
1922,Morvich,Albert Johnson,Fred Burlew,Benjamin Block,1.25,Fast,2:04.6,2,F,6,5,6/5,California,M,16,12,2,1,15,0.938,
1921,Behave Yourself,Charles Thompson,Herbert J. Thompson,Edward R. Bradley,1.25,Fast,2:04.2,1,F,17,2,17/2,Kentucky,M,18,4,2,1,7,0.389,
1920,Paul Jones,Ted Rice,William M. Garth,Ral Parr,1.25,Slow,2:09.0,1,F,16,1,16/1,Kentucky,M,65,14,12,13,39,0.600,
1919,Sir Barton,Johnny Loftus,H. Guy Bedwell,J. K. L. Ross,1.25,Heavy,2:09.8,2,T,13,5,13/5,Kentucky,M,31,13,6,5,24,0.774,
1918,Exterminator,Willie Knapp,Henry McDaniel,Willis Sharpe Kilmer,1.25,Muddy,2:10.8,1,F,30,1,30/1,Kentucky,M,99,50,17,17,84,0.848,
1917,Omar Khayyam,Charles Borel,Charles T. Patterson,Billings & Johnson,1.25,Fast,2:04.6,1,F,13,1,13/1,Great Britain,M,28,12,5,4,21,0.750,
1916,George Smith,Johnny Loftus,Hollie Hughes,John Sanford,1.25,Fast,2:04.0,2,F,4,1,4/1,Kentucky,M,31,17,5,3,25,0.806,
1915,Regret,Joe Notter,James G. Rowe Sr.,Harry P. Whitney,1.25,Fast,2:05.4,1,F,8,3,8/3,New Jersey,F,11,9,1,0,10,0.909,
1914,Old Rosebud,John McCabe,Frank D. Weir,Hamilton C. Applegate,1.25,Fast,2:03.40,1,F,6,7,6/7,Kentucky,M,80,40,13,8,61,0.763,
1913,Donerail,Roscoe Goose,Thomas P. Hayes,Thomas P. Hayes,1.25,Fast,2:04.8,1,F,91,1,91/1,Kentucky,M,62,10,11,10,31,0.500,
1912,Worth,Carroll H. Shilling,Frank M. Taylor,Harry C. Hallenbeck,1.25,Muddy,2:09.4,1,F,4,5,4/5,Kentucky,M,31,15,7,3,25,0.806,
1911,Meridian,George Archibald,Albert Ewing,Richard F. Carman,1.25,Fast,2:05.0,1,F,3,1,3/1,Kentucky,M,66,20,15,10,45,0.682,
1910,Donau,Frederick Herbert,George Ham,William Gerst,1.25,Fast,2:06.4,1,F,8,3,8/3,Kentucky,M,111,30,18,30,78,0.703,
1909,Wintergreen,Vincent Powers,Charles Mack,Jerome B. Respess,1.25,Slow,2:08.2,1,F,2,1,2/1,Ohio,M,61,16,14,8,38,0.623,
1908,Stone Street,Arthur Pickens,J. W. Hall,C. E. & J. W. Hamilton,1.25,Heavy,2:15.2,1,F,24,1,24/1,Kentucky,M,92,18,17,9,44,0.478,
1907,Pink Star,Andy Minder,William H. Fizer,J. Hal Woodford,1.25,Heavy,2:12.6,1,F,,,,Kentucky,M,16,3,1,2,6,0.375,
1906,Sir Huon,Roscoe Troxler,Pete Coyne,Bashford Manor Stable,1.25,Fast,2:08.8,1,F,,,,Kentucky,M,18,10,3,0,13,0.722,
1905,Agile,Jack Martin,Robert Tucker,Samuel S. Brown,1.25,Heavy,2:10.75,1,F,,,,Kentucky,M,66,14,12,9,35,0.530,
1904,Elwood,Shorty Prior,Charles E. Durnell,Lasca Durnell,1.25,Fast,2:08.5,1,F,,,,Missouri,M,58,8,7,5,20,0.345,
1903,Judge Himes,Harold Booker,John P. Mayberry,Charles R. Ellison,1.25,Fast,2:09.0,1,F,,,,Kentucky,M,104,18,14,22,54,0.519,
1902,Alan-a-Dale,Jimmy Winkfield,Thomas C. McDowell,Thomas C. McDowell,1.25,Fast,2:08.75,2,F,,,,Kentucky,M,37,17,7,1,25,0.676,
1901,His Eminence,Jimmy Winkfield,Frank B. Van Meter,Frank B. Van Meter,1.25,Fast,2:07.75,2,F,,,,Kentucky,M,53,11,7,8,26,0.491,
1900,Lieut. Gibson,Jimmy Boland,Charles H. Hughes,Charles Head Smith,1.25,Fast,2:06.25,1,F,,,,Kentucky,M,24,10,5,3,18,0.750,
1899,Manuel,Fred Taral,Robert J. Walden,A. H. & D. H. Morris,1.25,Fast,2:12.0,1,F,,,,Kentucky,M,21,4,5,4,13,0.619,
1898,Plaudit,Willie Simms,John E. Madden,John E. Madden,1.25,Good,2:09.0,2,F,,,,Kentucky,M,20,8,5,0,13,0.650,
1897,Typhoon II,Buttons Garner,Julius C. Cahn,Julius C. Cahn,1.25,Heavy,2:12.5,1,F,,,,Tennessee,M,39,19,9,3,31,0.795,
1896,Ben Brush,Willie Simms,Hardy Campbell Jr.,Mike F. Dwyer,1.25,Dusty,2:07.75,2,F,,,,Kentucky,M,40,25,5,5,35,0.875,
1895,Halma,James Perkins,Byron McClelland,Byron McClelland,1.5,Fast,2:37.5,1,F,,,,Kentucky,M,16,7,2,3,12,0.750,
1894,Chant,Frank Goodale,H. Eugene Leigh,H. Eugene Leigh & Robert L. Rose,1.5,Fast,2:41.0,1,F,,,,Kentucky,M,63,22,15,6,43,0.683,
1893,Lookout,Eddie Kunze,William McDaniel,Cushing & Orth,1.5,Fast,2:39.25,1,F,,,,Kentucky,M,66,17,12,5,34,0.515,
1892,Azra,Alonzo Clayton,John H. Morris,Bashford Manor Stable,1.5,Heavy,2:41.5,1,F,,,,Kentucky,M,23,5,3,7,15,0.652,
1891,Kingman,Isaac Murphy,Dud Allen,Jacobin Stable,1.5,Fast,2:52.25,3,F,,,,Tennessee,M,28,10,6,6,22,0.786,
1890,Riley,Isaac Murphy,Edward Corrigan,Edward Corrigan,1.5,Muddy,2:45.0,3,F,,,,Kentucky,M,64,30,17,4,51,0.797,
1889,Spokane,Thomas Kiley,John Rodegap,Noah Armstrong,1.5,Fast,2:34.5,1,F,,,,Montana,M,17,5,4,2,11,0.647,
1888,Macbeth II,George Covington,John Campbell,Chicago Stable,1.5,Fast,2:38.25,1,F,,,,Kentucky,M,106,25,21,14,60,0.566,
1887,Montrose,Isaac Lewis,John McGinty,Labold Brothers,1.5,Fast,2:39.25,1,F,,,,Kentucky,M,51,14,11,9,34,0.667,
1886,Ben Ali,Paul Duffy,Jim Murphy,J. B. A. Haggin,1.5,Fast,2:36.5,1,F,,,,Kentucky,M,40,12,3,5,20,0.500,
1885,Joe Cotton,Erskine Henderson,Abraham Perry,James T. Williams,1.5,Good,2:37.25,1,F,,,,Kentucky,M,54,17,6,7,30,0.556,
1884,Buchanan,Isaac Murphy,William Bird,Samuel S. Brown & William Cottrill,1.5,Good,2:40.25,3,F,,,,Kentucky,M,35,8,14,10,32,0.914,
1883,Leonatus,William Donohue,Raleigh Colston Sr.,Jack P. Chinn & George W. Morgan,1.5,Heavy,2:43.0,1,F,,,,Kentucky,M,11,10,1,0,11,1.000,
1882,Apollo,Babe Hurd,Green B. Morris,Morris & Patton,1.5,Fast,2:40.25,1,F,,,,Kentucky,M,55,24,15,9,48,0.873,
1881,Hindoo,Jim McLaughlin,James G. Rowe Sr.,Dwyer Bros. Stable,1.5,Fast,2:40.0,1,F,,,,Kentucky,M,35,30,3,2,35,1.000,
1880,Fonso,George Lewis,Tice Hutsell,J. Snell Shawhan,1.5,Dusty,2:37.50,1,F,,,,Kentucky,M,12,5,3,2,10,0.833,
1879,Lord Murphy,Charlie Shauer,George Rice,Darden & Co,1.5,Fast,2:37.00,1,F,,,,Tennessee,M,14,6,5,0,11,0.786,
1878,Day Star,Jimmy Carter,Lee Paul,Thomas J. Nichols,1.5,Dusty,2:37.25,1,F,,,,Kentucky,M,42,11,7,5,23,0.548,
1877,Baden-Baden,Billy Walker,Edward D. Brown,Daniel Swigert,1.5,Fast,2:38.0,1,F,,,,Kentucky,M,10,4,3,2,9,0.900,
1876,Vagrant,Robert Swim,James Williams,William Astor Jr.,1.5,Fast,2:38.25,1,F,,,,Kentucky,M,88,20,12,12,44,0.500,
1875,Aristides,Oliver Lewis,Ansel Williamson,H. Price McGrath,1.5,Fast,2:37.75,1,F,,,,Kentucky,M,21,9,5,1,15,0.714,
